source_cui,target_cui
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C0730328,C0730328
C2026318,C0339438
C0730328,C0229206
C0730328,C4038809
C0035328,C2363772
C0035328,C2363772
C0035328,C2363772
C0035328,C2363772
C0035328,C1735356
C0035328,C1735356
C0035328,C1735356
C0035328,C1735356
C0035328,C0730360
C0035328,C0730360
C0035328,C0730360
C0035328,C0730360
C0035328,C0730360
C0035328,C0730360
C0035328,C0339505
C0035328,C0344271
C0035328,C0339505
C0035328,C0339505
C0035328,C0339505
C0035328,C0339505
C0035328,C0154841
C0035328,C0154841
C0035328,C0154841
C0035328,C0154841
C0035328,C0035327
C0035328,C0035327
C0035328,C0035327
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0035328,C0035328
C0154832,C0809995
C0154832,C0339438
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0154832
C0154832,C0035298
C0154832,C0035298
C0154832,C0035330
C2880477,C0809997
C0042170,C0809997
C0042170,C0443146
C0042170,C0443146
C0042170,C0042160
C0042170,C0042170
C0042170,C0042170
C1274712,C0042170
C0042170,C0042170
C0042170,C0042170
